gene_id,cell type,type
IFFO1,CD4,CSE
FHIT,CD4,CSE
STK10,CD4,CSE
FKBP5,CD4,CSE
CD226,CD4,CSE
C13orf15,CD4,CSE
LEF1,CD4,CSE
C1ORF112,CD4,CSE
SMG6,CD4,CSE
CASS4,CD4,CSE
PTGER4,CD4,CSE
CDC42SE2,CD4,CSE
CAMK4,CD4,CSE
VDAC1,CD4,CSE
TCRBC2,CD4,CSE
TRANK1,CD4,CSE
CBLB,CD4,CSE
SLC38A1,CD4,CSE
DIAPH1,CD4,CSE
MDFIC,CD4,CSE
CAMK2G,CD4,CSE
TRAF3IP3,CD4,CSE
ABLIM1,CD4,CSE
OSBPL3,CD4,CSE
LST1,CD4,CSE
HIPK2,CD4,CSE
CCND3,CD4,CSE
CCND2,CD4,CSE
ARHGAP15,CD4,CSE
UBAC2,CD4,CSE
IPCEF1,CD4,CSE
STARD5,CD4,CSE
CAPZB,CD4,CSE
RASGRP1,CD4,CSE
EVL,CD4,CSE
CDKN1B,CD4,CSE
NUAK2,CD4,CSE
ITGA5,CD4,CSE
ITGA6,CD4,CSE
C14orf43,CD4,CSE
POLR1A,CD4,CSE
IQSEC1,CD4,CSE
XPO7,CD4,CSE
XPO6,CD4,CSE
SEMA4D,CD4,CSE
GRAP2,CD4,CSE
TBC1D2B,CD4,CSE
EPS15L1,CD4,CSE
CSGALNACT1,CD4,CSE
KIAA1949,CD4,CSE
RHOH,CD4,CSE
FMNL3,CD4,CSE
EFCAB4B,CD4,CSE
ATXN7,CD4,CSE
CRIP1,CD4,CSE
DCST2,CD4,CSE
CRIP2,CD4,CSE
NBPF9,CD4,CSE
TESPA1,CD4,CSE
SRGAP2,CD4,CSE
TAF10,CD4,CSE
AKAP13,CD4,CSE
MAP3K5,CD4,CSE
NCOA2,CD4,CSE
NEDD9,CD4,CSE
SNTB1,CD4,CSE
CISH,CD4,CSE
GPRIN3,CD4,CSE
ELMSAN1,CD4,CSE
LIMD2,CD4,CSE
RNF157,CD4,CSE
FLJ43663,CD4,CSE
PLCL2,CD4,CSE
PLCL1,CD4,CSE
LTB,CD4,CSE
LTA,CD4,CSE
SH2B3,CD4,CSE
LASP1,CD4,CSE
C5ORF56,CD4,CSE
GRAMD1A,CD4,CSE
FAIM3,CD4,CSE
ARID5B,CD4,CSE
RAB11FIP4,CD4,CSE
ZFYVE28,CD4,CSE
LMO4,CD4,CSE
FOXP1,CD4,CSE
LDLRAP1,CD4,CSE
NBEAL2,CD4,CSE
TTC7A,CD4,CSE
ANKH,CD4,CSE
PLCG1,CD4,CSE
SLFN12L,CD4,CSE
WDR82,CD4,CSE
TAF8,CD4,CSE
BIN1,CD4,CSE
RPTOR,CD4,CSE
MAD1L1,CD4,CSE
SELPLG,CD4,CSE
ESYT2,CD4,CSE
KLF3,CD4,CSE
C21orf96,CD4,CSE
UXS1,CD4,CSE
QRICH2,CD4,CSE
NCR3,CD4,CSE
ATN1,CD4,CSE
CUGBP2,CD4,CSE
LCP2,CD4,CSE
LCP1,CD4,CSE
TFL,CD4,CSE
EIF4E3,CD4,CSE
E2F2,CD4,CSE
MGAT4A,CD4,CSE
CYB561D1,CD4,CSE
ATP6V0E2,CD4,CSE
SPG11,CD4,CSE
CMTM7,CD4,CSE
AK002090,CD4,CSE
TSPAN14,CD4,CSE
HNRPLL,CD4,CSE
PTK2B,CD4,CSE
CHI3L2,CD4,CSE
IKBKE,CD4,CSE
UBXN11,CD4,CSE
RARA,CD4,CSE
RARG,CD4,CSE
ARHGEF6,CD4,CSE
ARHGEF2,CD4,CSE
ARHGEF3,CD4,CSE
COTL1,CD4,CSE
ARHGEF1,CD4,CSE
LBH,CD4,CSE
PIP4K2A,CD4,CSE
HPCAL1,CD4,CSE
RFFL,CD4,CSE
XYLT1,CD4,CSE
SSH2,CD4,CSE
TEX264,CD4,CSE
STK17A,CD4,CSE
RAB27A,CD4,CSE
TCRBV5S1A1T,CD4,CSE
ARID1A,CD4,CSE
SLC2A1,CD4,CSE
ELK3,CD4,CSE
CYLD,CD4,CSE
LEPROTL1,CD4,CSE
ELMO1,CD4,CSE
CLUAP1,CD4,CSE
ERAP2,CD4,CSE
NFATC2,CD4,CSE
PARP15,CD4,CSE
C16orf5,CD4,CSE
TRIB2,CD4,CSE
ARL4C,CD4,CSE
ADORA2A,CD4,CSE
CABIN1,CD4,CSE
GNAI2,CD4,CSE
CYB561,CD4,CSE
ANXA6,CD4,CSE
MKL1,CD4,CSE
ITPKB,CD4,CSE
C10orf54,CD4,CSE
PPP1R9B,CD4,CSE
TCF7,CD4,CSE
ORAI1,CD4,CSE
CSK,CD4,CSE
C20ORF112,CD4,CSE
EGLN2,CD4,CSE
IRF1,CD4,CSE
CD96,CD4,CSE
GLYCTK,CD4,CSE
TRIM8,CD4,CSE
MEF2D,CD4,CSE
COX10,CD4,CSE
THEMIS,CD4,CSE
HDAC4,CD4,CSE
HDAC7,CD4,CSE
ATM,CD4,CSE
SH3BP5,CD4,CSE
SH3BP1,CD4,CSE
TNRC6B,CD4,CSE
ATXN7L1,CD4,CSE
STK4,CD4,CSE
S1PR1,CD4,CSE
MYH9,CD4,CSE
CFLAR,CD4,CSE
IFI16,CD4,CSE
TRAPPC10,CD4,CSE
TTC22,CD4,CSE
TGFBR3,CD4,CSE
TGFBR2,CD4,CSE
RALGDS,CD4,CSE
FGD3,CD4,CSE
LINC00861,CD4,CSE
AIM1,CD4,CSE
IL6R,CD4,CSE
FAM65B,CD4,CSE
DUS2L,CD4,CSE
ZFP36,CD4,CSE
FAM107B,CD4,CSE
RANBP3,CD4,CSE
AMIGO1,CD4,CSE
FAM117A,CD4,CSE
SH3PXD2A,CD4,CSE
SLAMF1,CD4,CSE
ST6GAL1,CD4,CSE
ZNF710,CD4,CSE
USP3,CD4,CSE
LOH12CR1,CD4,CSE
LIMS1,CD4,CSE
RCSD1,CD4,CSE
ECE1,CD4,CSE
NR1D1,CD4,CSE
IQGAP2,CD4,CSE
FYB,CD4,CSE
ARAP1,CD4,CSE
FYN,CD4,CSE
ETS1,CD4,CSE
ZAP70,CD4,CSE
VIPR1,CD4,CSE
PLEKHG2,CD4,CSE
ABPARTS,CD4,CSE
HEMK1,CD4,CSE
STRADA,CD4,CSE
PRKCH,CD4,CSE
ZBTB1,CD4,CSE
RAC2,CD4,CSE
ZC3H7A,CD4,CSE
TPP1,CD4,CSE
PRKCB,CD4,CSE
CELF2,CD4,CSE
MGAT1,CD4,CSE
MTSS1,CD4,CSE
MGAT5,CD4,CSE
NBPF10,CD4,CSE
PRKCQ,CD4,CSE
TRABD2A,CD4,CSE
UCP2,CD4,CSE
CYTH4,CD4,CSE
SCML4,CD4,CSE
CHST11,CD4,CSE
VAMP2,CD4,CSE
NRM,CD4,CSE
ABI3,CD4,CSE
WIBG,CD4,CSE
RAD51L3-RFFL,CD4,CSE
BACH2,CD4,CSE
WIPF1,CD4,CSE
BOLA2,CD4,CSE
PITPNC1,CD4,CSE
ADD3,CD4,CSE
SLC6A6,CD4,CSE
ATF7IP,CD4,CSE
RAPGEF6,CD4,CSE
PPIL4,CD4,CSE
RAPGEF1,CD4,CSE
BCL6,CD4,CSE
PPP1R2,CD4,CSE
BHLHE40,CD4,CSE
MAP3K3,CD4,CSE
FMNL1,CD4,CSE
RORC,CD4,CSE
RORA,CD4,CSE
THRA,CD4,CSE
MBNL1,CD4,CSE
NUP210,CD4,CSE
ANKRD44,CD4,CSE
SPEF2,CD4,CSE
CDH23,CD4,CSE
BZRAP1,CD4,CSE
B4GALT1,CD4,CSE
PER1,CD4,CSE
LRRFIP1,CD4,CSE
ADCY7,CD4,CSE
INPP5D,CD4,CSE
RGS10,CD4,CSE
RUNX1,CD4,CSE
CD3E,CD4,CSE
ZBTB25,CD4,CSE
MED29,CD4,CSE
DOCK9,CD4,CSE
APBB1IP,CD4,CSE
AKNA,CD4,CSE
RRP8,CD4,CSE
GAPDH,CD4,CSE
MED26,CD4,CSE
CRTC3,CD4,CSE
SEPT9,CD4,CSE
BCL2,CD4,CSE
C2orf89,CD4,CSE
KIAA0922,CD4,CSE
SKI,CD4,CSE
AEN,CD4,CSE
MAML2,CD4,CSE
UBAP2L,CD4,CSE
PPM1M,CD4,CSE
AFF1,CD4,CSE
DNAJB13,CD4,CSE
DNAJB12,CD4,CSE
PIK3IP1,CD4,CSE
ANXA11,CD4,CSE
HECA,CD4,CSE
NSMCE1,CD4,CSE
GRK5,CD4,CSE
PARP9,CD4,CSE
GIMAP5,CD4,CSE
PTPN6,CD4,CSE
TNFRSF1B,CD4,CSE
SH3BGRL3,CD4,CSE
TNFRSF1A,CD4,CSE
CDC14A,CD4,CSE
TBC1D14,CD4,CSE
AGFG2,CD4,CSE
PPP2R5C,CD4,CSE
ANAPC16,CD4,CSE
ILK,CD4,CSE
CD4,CD4,CSE
CD6,CD4,CSE
CCR6,CD4,CSE
ARRB1,CD4,CSE
PSTPIP1,CD4,CSE
BCR,CD4,CSE
CD79A,CD4,CSE
STAT4,CD4,CSE
SIK3,CD4,CSE
CD82,CD4,CSE
AK302694,CD4,CSE
APOLD1,CD4,CSE
TMSB4X,CD4,CSE
ICAM2,CD4,CSE
MARK2,CD4,CSE
CLEC16A,CD4,CSE
CTDSP2,CD4,CSE
LY6E,CD4,CSE
BC016143,CD4,CSE
DLEU1,CD4,CSE
TRA@,CD4,CSE
TRAC,CD4,CSE
DKFZP667J0810,CD4,CSE
IL16,CD4,CSE
CD247,CD4,CSE
STX16,CD4,CSE
ZMIZ1,CD4,CSE
GATAD2A,CD4,CSE
STIM1,CD4,CSE
STIM2,CD4,CSE
MAP4K4,CD4,CSE
CYFIP2,CD4,CSE
LIMK2,CD4,CSE
DIP2A,CD4,CSE
MPRIP,CD4,CSE
FOXO1,CD4,CSE
TCR-ALPHA,CD4,CSE
BCL9L,CD4,CSE
DAD1,CD4,CSE
LOC256021,CD4,CSE
SPTBN1,CD4,CSE
ANKRD11,CD4,CSE
KLF13,CD4,CSE
PLEKHF1,CD4,CSE
RGS3,CD4,CSE
MBP,CD4,CSE
RERE,CD4,CSE
ZBTB7B,CD4,CSE
MSI2,CD4,CSE
KIAA0247,CD4,CSE
TTC39C,CD4,CSE
PCNX,CD4,CSE
DUSP16,CD4,CSE
FAM53B,CD4,CSE
FMN1,CD4,CSE
G0S24,CD4,CSE
ZNF862,CD4,CSE
CASP8,CD4,CSE
ATXN1,CD4,CSE
M6PR,CD4,CSE
BCL2L1,CD4,CSE
LDLRAD4,CD4,CSE
ZYX,CD4,CSE
SMAP2,CD4,CSE
DENND2D,CD4,CSE
CCDC88C,CD4,CSE
INPP4B,CD4,CSE
INPP4A,CD4,CSE
MICAL2,CD4,CSE
ARHGAP26,CD4,CSE
ARHGAP25,CD4,CSE
PTP4A2,CD4,CSE
PPP1R16B,CD4,CSE
SLC26A11,CD4,CSE
MED15,CD4,CSE
ISCU,CD4,CSE
FLI1,CD4,CSE
VPS13D,CD4,CSE
ATP2B4,CD4,CSE
TNIK,CD4,CSE
ATP8B2,CD4,CSE
SUPT4H1,CD4,CSE
CYTIP,CD4,CSE
C10ORF105,CD4,CSE
SLC7A6,CD4,CSE
RASSF3,CD4,CSE
MACF1,CD4,CSE
RASSF5,CD4,CSE
ST3GAL1,CD4,CSE
DNM2,CD4,CSE
MAPKAPK3,CD4,CSE
ADRBK1,CD4,CSE
TMEM116,CD4,CSE
BC046497,CD4,CSE
CHD2,CD4,CSE
PREX1,CD4,CSE
CAP1,CD4,CSE
PIK3R1,CD4,CSE
GNG2,CD4,CSE
SPATA13,CD4,CSE
RAB7A,CD4,CSE
FAM102A,CD4,CSE
TRA,CD4,CSE
CDC25B,CD4,CSE
TTC9,CD4,CSE
TRD,CD4,CSE
OPTN,CD4,CSE
SART3,CD4,CSE
RHOG,CD4,CSE
RHOF,CD4,CSE
TMEM66,CD4,CSE
TNFAIP8,CD4,CSE
HMOX2,CD4,CSE
MAN1C1,CD4,CSE
DTX3L,CD4,CSE
FNBP1,CD4,CSE
EHD4,CD4,CSE
EHD1,CD4,CSE
NFATC1,CD4,CSE
CYTH1,CD4,CSE
NFATC3,CD4,CSE
IKZF1,CD4,CSE
IKZF3,CD4,CSE
SORL1,CD4,CSE
RAB8A,CD4,CSE
BTG1,CD4,CSE
TIAM1,CD4,CSE
TEC,CD4,CSE
PDCD1,CD4,CSE
PAQR8,CD4,CSE
LRRC8C,CD4,CSE
FAM49B,CD4,CSE
TMEM120B,CD4,CSE
ZFP36L1,CD4,CSE
ZFP36L2,CD4,CSE
GGA1,CD4,CSE
PLCD1,CD4,CSE
SYNE1,CD4,CSE
SYNE2,CD4,CSE
HNRNPUL1,CD4,CSE
SOS1,CD4,CSE
PLGRKT,CD4,CSE
PDE4DIP,CD4,CSE
PRR5L,CD4,CSE
ERN1,CD4,CSE
ISG20,CD4,CSE
COA1,CD4,CSE
HIVEP2,CD4,CSE
HIVEP3,CD4,CSE
OXNAD1,CD4,CSE
TCRA,CD4,CSE
RPS19,CD4,CSE
CAB39,CD4,CSE
HAX1,CD4,CSE
NEMF,CD4,CSE
BCL11B,CD4,CSE
HSPA1A,CD4,CSE
ELF1,CD4,CSE
HSPA1L,CD4,CSE
TXK,CD4,CSE
SLC9A3R1,CD4,CSE
TRAT1,CD4,CSE
DOK2,CD4,CSE
RFTN1,CD4,CSE
PXN,CD4,CSE
TG,CD4,CSE
DGKA,CD4,CSE
SH3KBP1,CD4,CSE
DGKD,CD4,CSE
TRAF1,CD4,CSE
DNMT3A,CD4,CSE
TRAF5,CD4,CSE
NEK7,CD4,CSE
SSSCA1,CD4,CSE
TNF,CD4,CSE
C10ORF54,CD4,CSE
SSBP3,CD4,CSE
PACS1,CD4,CSE
RASA2,CD4,CSE
FOXN3,CD4,CSE
SELL,CD4,CSE
BZRAP1-AS1,CD4,CSE
PTPRC,CD4,CSE
GNGT2,CD4,CSE
TBC1D10A,CD4,CSE
PGAP3,CD4,OSE
FGFR1OP2,CD4,OSE
RNF10,CD4,OSE
BTN2A1,CD4,OSE
IFNAR2,CD4,OSE
SRSF11,CD4,OSE
EMILIN2,CD4,OSE
OGDH,CD4,OSE
C21ORF91-OT1,CD4,OSE
GPR183,CD4,OSE
C6orf129,CD4,OSE
APBB1,CD4,OSE
