MI,No.overlap
0.033380149,8386
0.036983042,7085
0.082003507,11277
0.098365862,11726
0.033547326,5532
0.057305812,7628
0.043832588,6265
0.084292791,9495
0.050486763,6513
0.087864766,9588
0.084724065,9128
0.118005441,11149
0.086061746,8565
0.084919633,8294
0.04205506,5097
0.074800988,7295
0.073270279,7077
0.07122331,6890
0.050982348,5371
0.023424946,3433
0.104892642,8836
0.149325196,11637
0.122651088,9715
0.100095882,8210
0.100429709,8158
0.242832283,16949
0.044935216,4525
0.073674691,6321
0.324623693,21777
0.504716912,32707
0.164739472,11746
0.061262651,5409
0.048968703,4622
0.34343511,22361
0.125321258,9157
0.339954661,21527
0.087213367,6646
0.299730848,18949
0.115469187,8244
0.065023633,5321
0.237190787,15022
0.066282235,5247
0.30891773,18541
0.035139409,3396
0.136257431,8750
0.060719987,4670
0.151231695,9435
0.097702755,6584
0.046086692,3846
0.269589551,15400
0.757288956,40555
0.32013232,17884
0.333389187,18553
0.062903139,4617
0.137699654,8377
0.317165428,17474
0.071726321,5007
0.079382403,5355
0.411118067,22023
0.393139257,21112
0.197004092,11222
0.342276632,18282
0.320240339,17052
0.383393228,20048
0.171487955,9699
0.351635022,18399
0.12860876,7543
0.183390075,10191
0.234899589,12643
0.189841637,10414
0.405117484,20323
0.336172624,16911
0.120668944,6796
0.102929638,5973
0.34498045,17078
0.052640466,3651
0.251005561,12621
0.151275319,8051
0.317426839,15400
0.106125033,5954
0.160781712,8292
0.351679097,16689
0.248360076,11913
0.360102506,16609
0.344131668,15912
0.184786487,9079
0.373626971,17072
0.179092583,8776
0.375046148,17091
0.38034564,17312
0.08947711,4923
0.065173616,3892
0.315884396,14436
0.040924496,2860
0.239913141,11154
0.18397878,8816
0.260920248,12027
0.298887153,13594
0.146125296,7202
0.274019719,12453
0.331682749,14811
0.291131575,13122
0.463162572,20191
0.434268721,18913
0.102426045,5300
0.183093006,8559
0.320910365,14054
0.227531177,10245
0.307311194,13387
0.114056057,5629
0.165386325,7649
0.443065798,18626
0.372086947,15739
0.348922007,14733
0.088212474,4469
0.326829365,13506
0.449724129,18161
0.298998355,12410
0.427637227,17265
0.321407308,13207
0.578518074,22920
0.339023443,13852
0.311443699,12770
0.352363901,14308
0.10533905,4994
0.165373944,7235
0.2085577,8754
0.154537875,6695
0.431583408,16856
0.390393661,15341
0.340490393,13422
0.342632428,13452
0.372797445,14548
0.282052904,11239
0.718798314,27100
0.425646553,16436
0.417871871,16110
0.386761468,14977
0.532487051,20226
0.166324835,6989
0.311128315,12217
0.394489126,15224
0.2115497,8614
0.488685034,18552
0.404006522,15489
0.391016043,15007
0.296982135,11631
0.315645504,12275
0.083829812,3971
